"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Chevrolet | Ford | Honda | Porsche | Subaru | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD37A8547"
"ColumnCount:",17
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Porsche, All Models, All Vehicle Years, #","All Types, Subaru, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Porsche, All Models, All Vehicle Years, #","Automobiles, Subaru, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"01/1986",8254,1776,1444,226,8,40,368,8170,1776,1444,226,8,40,366,,
"02/1986",7296,1544,1306,218,14,24,316,7248,1544,1306,218,14,24,316,,
"03/1986",8990,1798,1566,356,12,50,412,8918,1798,1564,354,12,50,412,,
"04/1986",9142,1914,1646,406,14,58,384,9078,1914,1646,406,14,58,384,,
"05/1986",10806,2090,1900,540,16,36,452,10694,2090,1900,536,16,36,452,,
"06/1986",11232,2144,1944,602,14,64,402,11122,2144,1944,598,14,64,402,,
"07/1986",11542,2180,1906,704,12,92,448,11458,2180,1906,704,12,92,448,,
"08/1986",12368,2426,2050,636,18,60,482,12272,2426,2046,636,18,60,480,,
"09/1986",10596,2086,1748,488,6,56,436,10512,2086,1746,488,6,56,436,,
"10/1986",10922,2190,1908,386,24,56,500,10842,2190,1908,386,24,56,500,,
"11/1986",10300,2106,1786,384,22,86,446,10222,2102,1786,384,22,86,446,,
"12/1986",10136,2042,1810,314,16,60,430,10060,2042,1810,314,16,60,428,,
"01/1987",8314,1712,1474,238,10,46,352,8236,1712,1474,238,10,46,352,,
"02/1987",7734,1624,1420,244,4,66,300,7684,1624,1420,244,4,66,300,,
"03/1987",8892,1824,1470,338,16,52,450,8844,1824,1470,338,16,52,450,,
"04/1987",9278,1904,1520,412,14,36,416,9214,1902,1518,412,14,36,416,,
"05/1987",10670,2024,1774,584,12,50,478,10588,2022,1774,584,12,50,478,,
"06/1987",11024,2144,1822,574,22,80,390,10944,2144,1822,574,22,80,390,,
"07/1987",11324,2090,1932,612,14,64,510,11252,2090,1932,612,14,64,510,,
"08/1987",12316,2456,2168,596,22,78,488,12228,2456,2168,596,22,78,486,,
"09/1987",10970,2204,1912,514,10,72,506,10896,2204,1912,514,10,72,506,,
"10/1987",11780,2390,2120,486,16,76,514,11690,2390,2120,484,16,76,514,,
"11/1987",10692,2268,1988,350,22,90,458,10614,2266,1988,350,22,90,458,,
"12/1987",10678,2170,1960,338,28,64,496,10590,2168,1960,338,28,64,496,,
"01/1988",8550,1728,1544,214,14,76,386,8470,1728,1544,214,14,76,386,,
"02/1988",8082,1664,1378,274,10,46,410,8028,1664,1378,274,10,46,410,,
"03/1988",9260,1804,1740,348,22,38,432,9224,1804,1740,348,22,38,432,,
"04/1988",9808,2012,1734,428,8,78,420,9772,2012,1734,428,8,78,420,,
"05/1988",10644,2022,1928,510,18,48,488,10592,2022,1928,510,18,48,488,,
"06/1988",11136,2178,1984,542,10,64,472,11100,2178,1984,542,10,64,472,,
"07/1988",11648,2296,2062,524,12,74,494,11574,2294,2058,524,12,74,494,,
"08/1988",11734,2318,1950,600,12,82,572,11682,2318,1950,600,12,82,572,,
"09/1988",11228,2340,2004,506,12,68,478,11142,2338,2002,506,12,68,478,,
"10/1988",11568,2242,2176,436,22,82,520,11502,2242,2176,436,22,82,518,,
"11/1988",10454,2198,1918,342,20,80,482,10410,2198,1918,342,20,80,482,,
"12/1988",11294,2278,1984,308,20,80,578,11232,2278,1984,308,20,80,578,,
"01/1989",9020,1754,1622,288,8,76,432,8942,1754,1622,288,8,76,432,,
"02/1989",7982,1618,1446,238,10,34,428,7934,1618,1444,238,10,34,428,,
"03/1989",9470,1870,1640,358,12,54,492,9420,1870,1640,358,12,54,490,,
"04/1989",9576,1848,1784,402,10,70,444,9538,1848,1784,402,10,70,444,,
"05/1989",10170,2014,1824,490,20,52,530,10118,2014,1824,490,20,52,530,,
"06/1989",10364,2010,1844,446,12,72,490,10282,2010,1844,446,12,72,488,,
"07/1989",11218,2158,1914,576,10,72,514,11152,2158,1914,576,10,72,514,,
"08/1989",11042,2152,1946,500,10,92,538,10974,2150,1946,500,10,92,538,,
"09/1989",10886,2242,1978,464,10,84,524,10816,2240,1976,464,10,84,522,,
"10/1989",11154,2202,1964,416,12,92,542,11074,2202,1964,416,12,92,542,,
"11/1989",9886,1922,1858,346,6,84,498,9798,1920,1858,346,6,84,498,,
"12/1989",10972,2118,2074,360,14,98,542,10892,2118,2074,360,14,98,542,,
"01/1990",8770,1762,1666,248,,66,490,8698,1762,1666,248,,66,490,,
"02/1990",7910,1480,1436,250,8,76,384,7858,1480,1436,250,8,76,384,,
"03/1990",9364,1876,1704,368,12,72,502,9306,1876,1704,368,12,72,502,,
"04/1990",9296,1810,1650,408,16,68,422,9238,1808,1648,408,16,68,422,,
"05/1990",10112,1942,1812,428,6,60,476,10040,1942,1812,428,6,60,472,,
"06/1990",10726,2034,1840,530,14,60,544,10678,2034,1840,530,14,60,544,,
"07/1990",11324,2302,2058,574,10,54,590,11234,2302,2056,574,10,54,588,,
"08/1990",11130,2164,1964,544,4,76,532,11068,2164,1964,544,4,76,532,,
"09/1990",10544,1928,1836,514,18,94,470,10472,1926,1836,514,18,94,470,,
"10/1990",10176,1926,1892,390,18,70,610,10118,1924,1892,390,18,70,608,,
"11/1990",9656,1858,1772,372,16,70,486,9602,1858,1772,372,16,70,484,,
"12/1990",9576,1858,1764,330,6,66,576,9510,1858,1760,330,6,66,576,,
"01/1991",7338,1386,1426,192,8,44,374,4308,804,650,152,8,44,228,72,20
"02/1991",7294,1434,1378,188,6,54,422,4318,822,674,138,6,54,266,90,28
"03/1991",8494,1706,1474,282,6,50,508,5128,956,732,180,6,50,326,138,48
"04/1991",8142,1686,1498,354,2,72,420,4716,1002,690,186,2,72,264,226,98
"05/1991",9586,1826,1764,482,10,38,506,5446,998,894,224,10,38,354,428,156
"06/1991",10136,2008,1834,540,10,62,462,5562,1114,844,232,10,62,274,444,180
"07/1991",10310,1964,1818,486,16,78,548,5552,1032,808,210,16,78,322,510,172
